Name,Contact,Address,Website,Google Maps URL
Valvoline Bike Xpert - Om Automobiles,09422848590,"Shop No 6, Paud Rd, near Dwarka Hospital, Guruganesh Nagar, Kothrud, Pune, Maharashtra 411038",https://www.valvolineglobal.com/en-in/,https://www.google.com/maps/place/Valvoline+Bike+Xpert+-+Om+Automobiles/data=!4m7!3m6!1s0x3bc2bfa8660c631b:0x21573af7b5c2b815!8m2!3d18.5071791!4d73.7995293!16s%2Fg%2F11vkfx7k1x!19sChIJG2MMZqi_wjsRFbjCtfc6VyE?authuser=0&hl=en&rclk=1
Anish Service Point,09156894013,"DP Rd, Azad Nagar, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/Anish+Service+Point/data=!4m7!3m6!1s0x3bc2bfc78436e057:0xfd34c065e1b4a6e9!8m2!3d18.5022066!4d73.8090397!16s%2Fg%2F1yfprs1bs!19sChIJV-A2hMe_wjsR6aa04WXANP0?authuser=0&hl=en&rclk=1
YAMAHA Racing Service Shelar Autowheels,09039393539,"SR.NO.44, near BALAJI FISH CENTRE, opposite TIRANGA BHAVAN, Kelewadi, Kothrud, Pune, Maharashtra 411038",https://instagram.com/shelar.yamaha.kothrud,https://www.google.com/maps/place/YAMAHA+Racing+Service+Shelar+Autowheels/data=!4m7!3m6!1s0x3bc2c1cb16e964d5:0xed7450e77aaaa9c8!8m2!3d18.5071374!4d73.8241708!16s%2Fg%2F11kry74j42!19sChIJ1WTpFsvBwjsRyKmqeudQdO0?authuser=0&hl=en&rclk=1
patil automobiles,,"Shree vyankatesh bungalow. Near sutar hospital. Near siddhivinayak ganapati mandir. Monday closed timing 9:30 to 7, 7, Pune, Maharashtra 411038",,https://www.google.com/maps/place/patil+automobiles/data=!4m7!3m6!1s0x3bc2bf8ea78c9857:0xccf4d879130b5823!8m2!3d18.5042908!4d73.8070913!16s%2Fg%2F1vknmtv1!19sChIJV5iMp46_wjsRI1gLE3nY9Mw?authuser=0&hl=en&rclk=1
Prem Classic Automobile Bike Garage,09146454243,"Shop 3, Oppo Sndt Clg, Karve Rd, Pune, Maharashtra 411052",,https://www.google.com/maps/place/Prem+Classic+Automobile+Bike+Garage/data=!4m7!3m6!1s0x3bc2bf92fa10067d:0x394cf637008c4466!8m2!3d18.5066942!4d73.827891!16s%2Fg%2F11s51vlz4j!19sChIJfQYQ-pK_wjsRZkSMADf2TDk?authuser=0&hl=en&rclk=1
Auto Take Care (Garage) - Raju Dhumal,09822352702,"FRQ8+CRH, Dnydeep Colony, Hingne Budrukh, Karvenagar, Pune, Maharashtra 411052",,https://www.google.com/maps/place/Auto+Take+Care+%28Garage%29+-+Raju+Dhumal/data=!4m7!3m6!1s0x3bc2bfdd992c19ef:0x97db6407983dfd4b!8m2!3d18.4885685!4d73.8171212!16s%2Fg%2F11c0rrjgpy!19sChIJ7xksmd2_wjsRS_09mAdk25c?authuser=0&hl=en&rclk=1
Omkar Service Station,09823298484,"Sinhgad Rd, beside Shweta Apartments, Jaydeo Nagar, Dattawadi, Pune, Maharashtra 411030",,https://www.google.com/maps/place/Omkar+Service+Station/data=!4m7!3m6!1s0x3bc2bfe4c9b106bf:0x9487dd14e01ef99d!8m2!3d18.4889927!4d73.8299562!16s%2Fg%2F1jkysmm6l!19sChIJvwaxyeS_wjsRnfke4BTdh5Q?authuser=0&hl=en&rclk=1
NEW JANATA GARAGE- Best Garage in Karve Nagar,07972155540,"oppo, Sai Residency, New Janta Garage, near Shree Shambhu car washing center, Karvenagar, Pune, Maharashtra 411052",,https://www.google.com/maps/place/NEW+JANATA+GARAGE-+Best+Garage+in+Karve+Nagar/data=!4m7!3m6!1s0x3bc2bf8a8ffb98d5:0x54527e358f426cc9!8m2!3d18.4830531!4d73.8176374!16s%2Fg%2F11xl7x12q6!19sChIJ1Zj7j4q_wjsRyWxCjzV-UlQ?authuser=0&hl=en&rclk=1
BamBamBikes,09890344800,"Manohar Apartments Backside, next to Kremlin’ bungalow, opp. Runwal Paradise, Right, Right Bhusari Colony, Kothrud, Pune, Maharashtra 411038",,https://www.google.com/maps/place/BamBamBikes/data=!4m7!3m6!1s0x3bc2bf845d032663:0xe43c507934029a4a!8m2!3d18.50944!4d73.7887403!16s%2Fg%2F11fwh4ymmd!19sChIJYyYDXYS_wjsRSpoCNHlQPOQ?authuser=0&hl=en&rclk=1
USTAD GARAGE,09559241318,"Shop no 1 Barate complex saidatta nagar Ganpat Path, Lane No. 4, Karvenagar, Pune, Maharashtra 411052",,https://www.google.com/maps/place/USTAD+GARAGE/data=!4m7!3m6!1s0x3bc2bfb6c9bc6849:0xb6d0327099abd4af!8m2!3d18.4891796!4d73.8208609!16s%2Fg%2F11v3xmntfl!19sChIJSWi8yba_wjsRr9SrmXAy0LY?authuser=0&hl=en&rclk=1
